url,checked_at,verdict,coverage_state,indexed,robots_state,canonical_user,canonical_google,last_crawl_time,rich_results,raw
https://getdailyvox.com/blog/apple-intelligence-journal,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/apple-intelligence-journal,https://getdailyvox.com/blog/apple-intelligence-journal,2026-07-23T20:58:51Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-07-23T20:58:51Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/apple-intelligence-journal"", ""userCanonical"": ""https://getdailyvox.com/blog/apple-intelligence-journal"", ""sitemap"": [""https://getdailyvox.com/sitemap.xml""], ""referringUrls"": [""https://getdailyvox.com/blog""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/apple-journal-vs-dailyvox,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/apple-journal-vs-dailyvox,https://getdailyvox.com/blog/apple-journal-vs-dailyvox,2026-07-22T01:11:20Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-07-22T01:11:20Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/apple-journal-vs-dailyvox"", ""userCanonical"": ""https://getdailyvox.com/blog/apple-journal-vs-dailyvox"", ""sitemap"": [""https://getdailyvox.com/sitemap.xml""], ""referringUrls"": [""https://getdailyvox.com/blog/page/3"", ""https://getdailyvox.com/sitemap.xml""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-ai-journal-app,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-ai-journal-app,https://getdailyvox.com/blog/best-ai-journal-app,2026-07-23T15:05:04Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-07-23T15:05:04Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-ai-journal-app"", ""userCanonical"": ""https://getdailyvox.com/blog/best-ai-journal-app"", ""referringUrls"": [""https://getdailyvox.com/blog/on-device-ai-vs-cloud-ai-journaling"", ""https://getdailyvox.com/blog/ai-journaling-2026""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-diary-app-ipad,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-diary-app-ipad,https://getdailyvox.com/blog/best-diary-app-ipad,2026-08-03T01:06:28Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-08-03T01:06:28Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-diary-app-ipad"", ""userCanonical"": ""https://getdailyvox.com/blog/best-diary-app-ipad"", ""referringUrls"": [""https://getdailyvox.com/blog/page/3"", ""https://getdailyvox.com/sitemap.xml""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-free-journal-app,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-free-journal-app,https://getdailyvox.com/blog/best-free-journal-app,2026-08-03T06:31:53Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-08-03T06:31:53Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-free-journal-app"", ""userCanonical"": ""https://getdailyvox.com/blog/best-free-journal-app"", ""referringUrls"": [""https://getdailyvox.com/blog/best-free-journal-app-2026"", ""https://getdailyvox.com/blog""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-journal-app-for-adhd,2026-08-12T03:03:17+00:00,NEUTRAL,URL is unknown to Google,0,ROBOTS_TXT_STATE_UNSPECIFIED,,,,[],"{""verdict"": ""NEUTRAL"", ""coverageState"": ""URL is unknown to Google"", ""robotsTxtState"": ""ROBOTS_TXT_STATE_UNSPECIFIED"", ""indexingState"": ""INDEXING_STATE_UNSPECIFIED"", ""pageFetchState"": ""PAGE_FETCH_STATE_UNSPECIFIED""}"
https://getdailyvox.com/blog/best-journal-app-for-anxiety,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-journal-app-for-anxiety,https://getdailyvox.com/blog/best-journal-app-for-anxiety,2026-06-09T01:21:58Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-06-09T01:21:58Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-anxiety"", ""userCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-anxiety"", ""referringUrls"": [""https://getdailyvox.com/sitemap.xml""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-journal-app-for-couples,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-journal-app-for-couples,https://getdailyvox.com/blog/best-journal-app-for-couples,2026-08-03T12:00:55Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-08-03T12:00:55Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-couples"", ""userCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-couples"", ""sitemap"": [""https://getdailyvox.com/sitemap.xml""], ""referringUrls"": [""https://getdailyvox.com/sitemap.xml""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-journal-app-for-men,2026-08-12T03:03:17+00:00,PASS,Submitted and indexed,1,ALLOWED,https://getdailyvox.com/blog/best-journal-app-for-men,https://getdailyvox.com/blog/best-journal-app-for-men,2026-08-02T23:42:16Z,"[{""richResultType"": ""Breadcrumbs"", ""items"": [{""name"": ""Unnamed item""}]}]","{""verdict"": ""PASS"", ""coverageState"": ""Submitted and indexed"", ""robotsTxtState"": ""ALLOWED"", ""indexingState"": ""INDEXING_ALLOWED"", ""lastCrawlTime"": ""2026-08-02T23:42:16Z"", ""pageFetchState"": ""SUCCESSFUL"", ""googleCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-men"", ""userCanonical"": ""https://getdailyvox.com/blog/best-journal-app-for-men"", ""sitemap"": [""https://getdailyvox.com/sitemap.xml""], ""referringUrls"": [""https://getdailyvox.com/sitemap.xml""], ""crawledAs"": ""MOBILE""}"
https://getdailyvox.com/blog/best-journal-app-for-people-who-hate-writing,2026-08-12T03:03:17+00:00,NEUTRAL,Discovered - currently not indexed,0,ROBOTS_TXT_STATE_UNSPECIFIED,,,,[],"{""verdict"": ""NEUTRAL"", ""coverageState"": ""Discovered - currently not indexed"", ""robotsTxtState"": ""ROBOTS_TXT_STATE_UNSPECIFIED"", ""indexingState"": ""INDEXING_STATE_UNSPECIFIED"", ""pageFetchState"": ""PAGE_FETCH_STATE_UNSPECIFIED"", ""sitemap"": [""https://getdailyvox.com/sitemap.xml""], ""referringUrls"": [""https://getdailyvox.com/blog/feed.xml""], ""crawledAs"": ""CRAWLING_USER_AGENT_UNSPECIFIED""}"
