id,started,command,ok,detail
121,2026-08-03T11:01:55+00:00,publish,1,
122,2026-08-03T11:01:56+00:00,snapshot,1,
123,2026-08-03T11:01:57+00:00,restore,1,
124,2026-08-03T11:16:13+00:00,restore,1,
125,2026-08-03T11:19:00+00:00,video,1,
126,2026-08-03T11:25:11+00:00,restore,1,
127,2026-08-03T11:25:11+00:00,gate,1,
128,2026-08-03T11:34:44+00:00,restore,1,
129,2026-08-03T11:37:30+00:00,video,1,
130,2026-08-03T11:51:02+00:00,restore,1,
131,2026-08-03T11:53:21+00:00,video,1,
132,2026-08-03T14:01:17+00:00,restore,1,
133,2026-08-03T14:01:19+00:00,gate,1,
134,2026-08-03T16:43:01+00:00,restore,1,
135,2026-08-03T16:43:01+00:00,gate,1,
136,2026-08-03T18:52:09+00:00,restore,1,
137,2026-08-03T18:52:10+00:00,gate,1,
138,2026-08-03T20:27:40+00:00,restore,1,
139,2026-08-03T20:27:41+00:00,gate,1,
140,2026-08-03T21:46:27+00:00,restore,1,
141,2026-08-03T21:46:27+00:00,gate,1,
142,2026-08-03T23:02:19+00:00,restore,1,
143,2026-08-03T23:02:20+00:00,gate,1,
144,2026-08-04T00:17:37+00:00,restore,1,
145,2026-08-04T00:17:38+00:00,gate,1,
146,2026-08-04T03:44:22+00:00,restore,1,
147,2026-08-04T03:44:23+00:00,gate,1,
148,2026-08-04T06:29:16+00:00,restore,1,
149,2026-08-04T06:29:17+00:00,gate,1,
150,2026-08-04T08:42:30+00:00,restore,1,
151,2026-08-04T08:42:32+00:00,gate,1,
152,2026-08-04T08:42:51+00:00,snapshot,1,
153,2026-08-04T08:42:52+00:00,restore,1,
154,2026-08-04T08:54:36+00:00,restore,1,
155,2026-08-04T08:54:37+00:00,gate,1,
156,2026-08-04T08:55:49+00:00,restore,1,
157,2026-08-04T08:55:50+00:00,gate,1,
158,2026-08-04T08:56:28+00:00,restore,1,
159,2026-08-04T08:56:30+00:00,gate,1,
160,2026-08-04T09:14:44+00:00,restore,1,
161,2026-08-04T09:14:44+00:00,gate,1,
162,2026-08-04T09:15:11+00:00,snapshot,1,
163,2026-08-04T09:15:12+00:00,restore,1,
164,2026-08-04T09:25:35+00:00,restore,1,
165,2026-08-04T09:25:37+00:00,publish,1,
166,2026-08-04T09:26:04+00:00,restore,1,
167,2026-08-04T09:26:05+00:00,gate,1,
168,2026-08-04T09:31:18+00:00,restore,1,
169,2026-08-04T09:31:18+00:00,publish,1,
170,2026-08-04T09:33:11+00:00,restore,1,
171,2026-08-04T10:38:41+00:00,restore,1,
172,2026-08-04T10:38:43+00:00,publish,1,
173,2026-08-04T11:48:16+00:00,restore,1,
174,2026-08-04T11:48:16+00:00,gate,1,
175,2026-08-04T14:18:20+00:00,restore,1,
176,2026-08-04T14:18:21+00:00,gate,1,
177,2026-08-04T16:25:27+00:00,restore,1,
178,2026-08-04T16:25:27+00:00,gate,1,
179,2026-08-04T18:16:47+00:00,restore,1,
180,2026-08-04T18:16:48+00:00,gate,1,
181,2026-08-04T20:03:00+00:00,restore,1,
182,2026-08-04T20:03:00+00:00,gate,1,
183,2026-08-04T21:41:55+00:00,restore,1,
184,2026-08-04T21:41:56+00:00,gate,1,
185,2026-08-04T23:04:47+00:00,restore,1,
186,2026-08-04T23:04:47+00:00,gate,1,
187,2026-08-05T00:17:15+00:00,restore,1,
188,2026-08-05T00:17:16+00:00,gate,1,
189,2026-08-05T03:40:31+00:00,restore,1,
190,2026-08-05T03:40:32+00:00,gate,1,
191,2026-08-05T03:41:50+00:00,restore,1,
192,2026-08-05T03:41:51+00:00,inventory,1,
193,2026-08-05T03:58:00+00:00,collect,1,
194,2026-08-05T03:58:00+00:00,brief,1,
195,2026-08-05T05:23:19+00:00,restore,1,
196,2026-08-05T05:33:24+00:00,restore,1,
197,2026-08-05T05:33:29+00:00,publish,1,
198,2026-08-05T06:30:00+00:00,restore,1,
199,2026-08-05T06:30:01+00:00,gate,1,
200,2026-08-05T06:40:52+00:00,restore,1,
201,2026-08-05T06:49:58+00:00,restore,1,
202,2026-08-05T06:49:58+00:00,inventory,1,
203,2026-08-05T06:50:00+00:00,collect,1,
204,2026-08-05T06:50:00+00:00,brief,1,
205,2026-08-05T06:50:31+00:00,draft,1,
206,2026-08-05T09:22:26+00:00,restore,1,
207,2026-08-05T09:22:28+00:00,gate,1,
208,2026-08-05T11:44:46+00:00,restore,1,
209,2026-08-05T11:44:47+00:00,gate,1,
